Movie Name,Year,Runtime,Genre,Language,Budget,First day Collection Worldwide,Worldwide Collection,Overseas Collection,India Gross Collection,Verdict
Jawan,2023,169 min,"Action,Thriller",Hindi,285,129.6,1121.7,376.5,745.2,All Time Blockbuster
Pathaan,2023,146 min,"Action,Adventure,Thriller",Hindi,250,104.8,1050.3,396.02,654.28,All Time Blockbuster
Gadar 2,2023,170 min,"Action,Adventure,Drama",Hindi,80,53.7,690.2,65.5,624.7,All Time Blockbuster
Jailer,2023,168 min,"Action,Comedy,Crime",Tamil,200,91.2,604.8,192.3,412.5,Blockbuster
Adipurush,2023,179 min,"Action,Adventure,Drama",Telugu,375,136.8,410.5,61.2,349.3,Average
Rocky Aur Rani Kii Prem Kahaani,2023,168 min,"Comedy,Drama,Family",Hindi,150,23.5,355.6,172.8,182.8,Hit
Ponniyin Selvan: Part Two,2023,164 min,"Action,Adventure,Drama",Tamil,250,64.5,343.5,128.2,215.3,Hit
Varisu,2023,169 min,"Action,Drama",Tamil,175,46.32,302.4,88.5,213.9,Super Hit
The Kerala Story,2023,138 min,Drama,Hindi,25,9.5,300.5,15.6,284.9,Blockbuster
Waltair Veerayya,2023,155 min,"Action,Drama",Telugu,125,44.6,225.7,28.5,197.2,Blockbuster
OMG 2,2023,156 min,"Comedy,Drama",Hindi,95,12.5,220.5,42.3,178.2,Super Hit
Tu Jhoothi Main Makkaar,2023,150 min,"Comedy,Romance",Hindi,90,22.3,215.8,47.4,168.4,Hit
Thunivu,2023,145 min,"Action,Crime,Thriller",Tamil,115,39.6,201.9,57.2,144.7,Hit
Kisi Ka Bhai Kisi Ki Jaan,2023,145 min,"Action,Comedy,Drama",Hindi,125,26.3,182.5,50.8,131.7,Average
2018,2023,150 min,"Action,Drama,Thriller",Malayalam,15,3.5,180.5,69.2,111.3,All Time Blockbuster
Dream Girl 2,2023,134 min,"Comedy,Drama,Romance",Hindi,65,12.6,140.2,15.6,124.6,Hit
Veera Simha Reddy,2023,170 min,"Action,Drama",Telugu,85,47.3,130.7,15.5,115.2,Hit
Dasara,2023,156 min,"Action,Adventure,Drama",Telugu,55,38.65,118.5,21.2,97.3,Super Hit
Satyaprem Ki Katha,2023,146 min,"Comedy,Drama,Musical",Hindi,75,9.25,117.2,255.4,91.8,Average
Vaathi,2023,139 min,"Action,Drama",Tamil,40,14.85,116.5,24.65,91.85,Blockbuster
Bro,2023,134 min,"Comedy,Drama,Family",Telugu,125,48.5,114.8,14.6,100.2,Flop
Zara Hatke Zara Bachke,2023,132 min,"Comedy,Drama,Family",Hindi,50,6.5,112.5,11.3,101.2,Super Hit
Bholaa,2023,144 min,"Action,Adventure,Crime",Hindi,115,16.5,110.5,14.2,96.3,Flop
Mark Antony,2023,150 min,"Action,Comedy,Drama",Tamil,35,11.5,102.5,18.7,83.8,Blockbuster as of now
Carry on Jatta 3,2023,136 min,"Comedy,Drama,Romance",Punjabi,15,10.2,101.5,45.8,55.7,All Time Blockbuster
Baipan Bhari Deva,2023,137 min,"Comedy,Drama,Family",Marathi,5,1.5,90.5,0,90.5,Blockbuster
Virupaksha,2023,145 min,"Action,Drama,Horror",Telugu,35,11.85,90.25,14.6,75.65,Blockbuster
